url,was_in_live_sitemap,which_live_sitemap
"https://www.liquorlicenseagents.com/cities/hialeah-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/hidden-hills-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/huntington-beach-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/huntington-park/huntington-park-liquor-licenses-for-restaurants-bars-and-retailers/","yes","/sitemaps/sitemap-cities.xml"
"https://www.liquorlicenseagents.com/cities/imperial-beach/imperial-beach-liquor-licenses-for-restaurants-bars-and-retailers/","yes","/sitemaps/sitemap-cities.xml"
"https://www.liquorlicenseagents.com/cities/irvine-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/irwindale-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/jacksonville","yes","/sitemaps/sitemap-cities-categories.xml"
"https://www.liquorlicenseagents.com/cities/jacksonville-13ct-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/jacksonville-2aps-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/jacksonville-2cop-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/jacksonville-3ps-quota-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/jacksonville-4cop-quota-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/jacksonville-4cop-sfs-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/jacksonville-cmb-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/jacksonville-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/la-habra","yes","/sitemaps/sitemap-cities-categories.xml"
"https://www.liquorlicenseagents.com/cities/la-habra-heights-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/la-habra/la-habra-liquor-licenses-for-restaurants-bars-and-retailers/","yes","/sitemaps/sitemap-cities.xml"
"https://www.liquorlicenseagents.com/cities/la-mesa-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/la-mirada-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/la-palma-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/la-puente-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/la-verne-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/laguna-beach-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/laguna-beach-type-20-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/laguna-beach-type-21-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/laguna-beach-type-41-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/laguna-beach-type-47-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/laguna-beach-type-48-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/laguna-beach-type-57-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/laguna-beach-type-61-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/laguna-hills-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
